Population 0 to 15 years,Population aged 16 to 24 years,Population aged 25 to 64 years,Population aged 65 years and over
21.6,8.5,55.5,14.4
19.7,8.4,53.7,18.1
21.5,9.2,53.8,15.4
21.8,9.2,58.6,10.3
21.5,10.5,54.2,13.9
19.7,9.7,52.9,17.7
21.1,11.9,59.9,7.1
27.6,11.6,52.4,8.4
23.2,10.2,58,8.6
26.4,11.5,55,7.1
30.8,11.3,50.9,7
18.7,12.3,60.5,8.5
22.4,10.6,57.6,9.4
24.7,13.3,55.1,6.9
18,12.8,62,7.2
22.3,11.1,57.5,9.1
25,11.6,55.2,8.2
15.2,15.1,63.2,6.5
14,20.9,62.6,2.6
24.5,10.1,58.6,6.8
24.6,10.3,56.7,8.4
21.1,11.7,57.9,9.3
22.2,10.1,57.8,10
23.1,11.2,57.9,7.7
26.1,11.6,54.6,7.8
19.7,13,58.8,8.5
22,11.9,57.8,8.4
21.7,11.5,56.4,10.4
27.5,12,53.5,7
25.7,12,53.8,8.5
26,10.7,55.8,7.5
22.2,13,57.2,7.6
21.1,12.8,59,7.1
24.3,11.8,56.4,7.5
27.3,12.1,52.9,7.7
21.8,12.7,57.5,8
23.7,11.3,57.2,7.7
23.6,12.2,57.8,6.4
20.7,15,58.6,5.7
17.7,12.3,63.3,6.7
24,12.3,57.1,6.6
24.1,12.9,55.1,7.9
20.4,12.4,63.2,4
17.1,8.9,51.8,22.3
22.2,10,54.8,13
21.4,10.5,54.3,13.8
19.7,10.4,55.9,14
18.9,10.6,55.5,15
20.2,10.9,55.1,13.8
18.3,8.4,60,13.3
20.3,11.7,51.5,16.5
22.3,9.5,57.3,11
21.9,10.6,52.4,15.1
18.4,10.8,53.7,17
21.8,11.3,54.2,12.7
16.2,7.8,58.6,17.5
21.6,10.8,53.8,13.8
22.7,10.6,53.5,13.3
19.6,8.9,54.6,16.9
26,11.2,53.2,9.6
23.6,12.5,51.9,12
26.6,10.9,53.8,8.6
25.3,12,54.2,8.5
23.4,11.7,54,10.9
26.8,9.9,54.1,9.2
19.8,8.5,55.7,16
26.5,9.6,55.6,8.3
27.8,10.6,53.8,7.8
24.3,11.9,51.9,11.9
27.4,9.9,55.3,7.4
29.5,11.9,51,7.6
20.1,8.5,54,17.4
19,6.4,57,17.7
22.5,5.8,57.5,14.3
21.7,6.9,58.3,13.1
23.7,5.8,56.1,14.4
18.4,6.6,58.4,16.6
24,5.7,59.5,10.8
17.2,7.7,60.1,15.1
20.2,5.9,57.2,16.7
19.8,9.7,53.8,16.7
21.6,7.7,57.2,13.5
24.5,7.6,48.8,19.1
22.1,9.4,52.5,16
20.1,7.6,60.8,11.5
23.5,8.3,55.3,12.9
18.9,15.4,51.2,14.5
22.9,8,53.2,15.9
22.2,8,56.6,13.3
19.9,7.9,55.1,17.1
20.5,7.7,53.9,17.9
18.8,8,56.7,16.5
20.2,11.6,53.3,14.9
19.8,7.1,54.2,18.8
12.8,8.6,72.1,6.5
9.4,23.9,60,6.7
10.9,9.7,75.2,4.2
18.8,9.5,65,6.6
15.6,16.7,59.6,8
18.7,11.4,62.3,7.6
14.2,10.3,69.1,6.5
13.5,28.8,52.6,5
19.4,11.3,61.3,8
20.4,10.1,58.4,11
16.5,15.3,58.6,9.6
19.2,15.4,57.8,7.6
16.2,13.2,63,7.7
25.7,11.9,54,8.4
22.5,9.8,60.4,7.3
18.2,10.9,62,8.9
25,11,55.3,8.7
24.5,10,58.8,6.7
20.1,10.7,60.4,8.8
21.2,9.3,61.8,7.7
21,11.2,60,7.8
18,9.3,64.2,8.5
15.7,10.4,64.9,9
18.3,6.3,67.1,8.4
20.4,8.9,60.3,10.4
20.4,15,57.6,6.9
18,5.9,67,9.1
23.3,6.9,61.5,8.3
21.3,6.4,63.4,9
24.5,7.4,55.2,12.8
21.7,6.1,61.9,10.3
22.8,7.9,57.2,12.1
25.6,10.3,53.8,10.3
24,10.5,55.1,10.3
18.8,10.3,54.2,16.7
21.5,8,59.6,11
23,10.5,54.4,12.2
23.5,8.7,56.7,11.2
20.4,9.2,52.8,17.6
18.2,9,51.9,21
21.2,10.4,53.6,14.8
20.2,8.6,56.4,14.8
21.3,9.3,55.3,14.2
20.6,7.6,58.9,12.9
20.7,8.7,57.4,13.2
23,8.2,55.5,13.4
20.5,8,56,15.5
19,9.6,52.2,19.3
20.3,8.1,56.4,15.3
19.7,6,59.3,15
25.2,11.3,52.2,11.3
20.5,7.9,51.2,20.4
19.6,7.4,59.3,13.8
19,9.3,51.2,20.6
19.8,9.8,51.5,18.9
22,10.4,59,8.6
21.7,12.7,57.8,7.8
18.7,10,62.4,8.8
17,10.8,67.2,5
17.9,12.5,63.1,6.4
18.3,10.1,61.7,9.8
20.9,12.1,58.8,8.2
25,12.3,56.8,5.9
17.6,12.6,64.6,5.2
20.2,28.1,46.5,5.2
22.7,15.8,56.2,5.3
24.3,13.4,57.7,4.7
16.9,15.8,62.7,4.6
23.7,14.1,56.4,5.9
13.7,17.6,62.5,6.2
20.3,16.3,53.2,10.2
20.1,15.3,58.5,6.1
